CITY,STATE,ZIP,MARKET,COMP,COMP2,MEDIA
East Northport,New York,11731-6006,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Richmond,Texas,77406,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Saint Louis,Missouri,63125-3124,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Maiden,North Carolina,28650,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Fresno,California,93722,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Raleigh,North Carolina,27612,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Stratford,Connecticut,06615,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Salt Lake City,Utah,84111,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Staten Island,New York,10314,GRE/PhD,Grad Application,RUC Grad Program List,Letter
La Palma,California,90623-1895,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Albuquerque,New Mexico,87102,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Bronx,New York,10462,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Gettysburg,Pennsylvania,17325,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Beaver Falls,Pennsylvania,15010,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Houston,Texas,77027,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Lenox,Michigan,48050,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Lewisville,Texas,75077-2711,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Atlanta,Georgia,30309,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Laceyville,Pennsylvania,18623,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Baltimore,Maryland,21214,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Mapleton,Utah,84664,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Ladera Ranch,California,92694,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Spring Lake,Michigan,49456,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Arlington,Texas,76013-7299,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Williamsburg,Virginia,23185-5054,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Abilene,Texas,79601-4849,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Canal Winchester,Ohio,43110,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Saint Louis,Missouri,63108-3425,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Saint Charles,Illinois,60174-1255,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Ashland,Massachusetts,01721,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Trent Woods,North Carolina,28562,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Centennial,Colorado,80111,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Spring Brook Township,Pennsylvania,18444-6232,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Rancho Mirage,California,92270,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Provo,Utah,84606-1786,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Chapel Hill,North Carolina,27514,GRE/PhD,Grad Application,RUC Grad Program List,Letter
La Crosse,Wisconsin,54601,GRE/PhD,Grad Application,RUC Grad Program List,Letter
San Francisco,California,94102,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Arlington,Massachusetts,02476,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Pearl City,Hawaii,96782,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Cicero,New York,13039-7817,GRE/PhD,Grad Application,RUC Grad Program List,Letter
New York,New York,10025,GRE/PhD,Grad Application,RUC Grad Program List,Letter
Signal Mountain,Tennessee,37377,GRE/PhD,Grad Application,RUC Grad Program List,Letter
